id_alum_matric;id_escuela;id_semestre;n_matriculados;;;;;;;;;;;
1;1;1;314;;;;;;;;;;;
2;2;21;130;;;;;;;;;;;
3;1;2;978;;;;;;;;;;;
4;2;22;534;;;;;;;;;;;
5;1;3;911;;;;;;;;;;;
6;2;23;498;;;;;;;;;;;
7;1;5;999;;;;;;;;;;;
8;2;25;594;;;;;;;;;;;
9;1;6;927;;;;;;;;;;;
10;2;26;572;;;;;;;;;;;
11;1;8;880;;;;;;;;;;;
12;2;28;590;;;;;;;;;;;
13;1;9;1082;;;;;;;;;;;
14;2;29;759;;;;;;;;;;;
15;1;11;1125;;;;;;;;;;;
16;2;31;794;;;;;;;;;;;
17;1;12;1057;;;;;;;;;;;
18;2;32;728;;;;;;;;;;;
19;1;14;1112;;;;;;;;;;;
20;2;34;805;;;;;;;;;;;
21;1;15;1024;;;;;;;;;;;
22;2;35;742;;;;;;;;;;;
23;1;17;1019;;;;;;;;;;;
24;2;24;716;;;;;;;;;;;
25;3;41;31;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
