id_estudiante;id_escuela;id_plan;anio_ingreso
20200111;2;7;20
25200172;2;8;25
22200067;2;7;22
23200128;1;3;23
22200001;1;3;22
25200060;3;9;25
23200002;1;3;23
24200214;3;9;24
25200143;1;3;25
22200185;1;3;22
22200244;2;7;22
18200054;1;2;18
23200129;1;3;23
21200020;2;7;21
23200075;2;7;23
25200173;2;8;25
25200083;1;3;25
14200123;1;1;14
25200001;1;3;25
22200002;1;3;22
22200189;1;3;22
19200325;2;7;19
20200243;2;7;20
23200131;1;3;23
23170334;1;3;23
18200132;1;2;18
22200164;1;3;22
23200076;2;7;23
24200088;1;3;24
22200275;2;7;22
21200021;2;7;21
20200147;1;3;20
23200132;1;3;23
25200185;3;9;25
20200242;1;3;20
23200133;1;3;23
22200003;1;3;22
21200197;2;7;21
22200068;2;7;22
23200134;1;3;23
23200135;1;3;23
22200232;2;7;22
24200045;2;8;24
20200149;1;3;20
21200002;1;3;21
22200069;2;7;22
25200084;1;3;25
18200109;2;6;18
20200047;2;7;20
21200022;2;7;21
22200295;2;7;22
24200192;3;9;24
25200061;3;9;25
25200002;1;3;25
21200023;2;7;21
25200003;1;3;25
25200085;1;3;25
21200294;2;7;21
21200252;2;7;21
18200004;1;2;18
23200004;1;3;23
25200004;1;3;25
20200046;2;7;20
24200046;2;8;24
24200183;2;8;24
20200128;2;7;20
25200062;3;9;25
20200151;1;3;20
21200121;1;3;21
22200004;1;3;22
19200319;2;7;19
20200244;2;7;20
24200193;3;9;24
24200089;1;3;24
23200077;2;7;23
22200270;2;7;22
19200300;2;7;19
20200059;1;3;20
21200068;1;3;21
16200105;1;2;16
17200132;1;2;17
20200152;1;3;20
23200005;1;3;23
18200248;2;6;18
25200005;1;3;25
24200047;2;8;24
22200158;1;3;22
23200136;1;3;23
25200006;1;3;25
23200078;2;7;23
24200140;1;3;24
22200299;2;7;22
23200236;2;7;23
20200006;1;3;20
25200174;2;8;25
18200005;1;2;18
25200134;1;3;25
20200153;1;3;20
21200272;2;7;21
22200070;2;7;22
23200237;2;7;23
23200137;1;3;23
20130124;1;3;20
20200246;2;7;20
24200048;2;8;24
21200156;1;3;21
22200167;1;3;22
19200273;2;7;19
23200006;1;3;23
23200139;1;3;23
23200238;2;7;23
23200140;1;3;23
22200005;1;3;22
22200071;2;7;22
21200136;1;3;21
16200106;1;2;16
21200106;1;3;21
21200303;2;7;21
20200154;1;3;20
17200136;1;2;17
24200090;1;3;24
15200006;1;2;15
13200093;1;1;13
22200285;2;7;22
13200051;2;5;13
22200304;2;7;22
25200169;2;8;25
18200249;2;6;18
