id_estudiante;id_curso;n_reprobaciones;id_semestre
08200008;201203M ;4;2
07200055;201210  ;1;2
06200147;202008  ;2;2
07200055;204004  ;2;2
06200147;205008  ;1;2
06200086;201211  ;1;2
06200086;209007  ;2;2
04200053;201208  ;1;2
04200053;201210  ;4;2
01114126;205009  ;7;2
01114126;206008  ;3;2
01114126;207002  ;2;2
07200108;204004  ;6;2
07200108;205001  ;4;2
07200108;205008  ;1;2
07200108;205009  ;1;2
08200090;201207  ;2;2
07200077;201104  ;1;2
07200077;209007  ;4;2
08200090;208001  ;1;2
08200090;208007  ;1;2
08200090;208008  ;3;2
07200092;201101  ;2;2
05200127;201203M ;4;2
07200092;201203M ;3;2
07200092;209007  ;3;2
05200127;206008  ;7;2
05200127;207002  ;3;2
01113991;202009  ;2;2
05200127;208007  ;2;2
05200127;208009  ;2;2
05200127;209003  ;2;2
08200153;205001  ;1;2
08200153;205009  ;7;2
08200153;206008  ;1;2
08200153;207008  ;1;2
01113991;209005M ;2;2
08200061;206007  ;2;2
06200015;207002  ;2;2
06200015;207007  ;2;2
06200015;207008  ;7;2
06200015;209008  ;1;2
00110878;201203M ;2;2
00110878;201211  ;1;2
00110878;208008  ;1;2
04200026;202001  ;2;2
00110749;201103  ;1;2
08200188;201103  ;1;2
08200188;209007  ;1;2
08200092;201101  ;1;2
06200064;201205  ;1;2
08200092;201105  ;1;2
08200021;201211  ;1;2
08200092;201207  ;1;2
04200152;201205  ;1;2
05200035;201206  ;1;2
06200166;201103  ;1;2
06200150;201203M ;1;2
06200150;201208  ;1;2
05200057;201211  ;1;2
997985  ;201105  ;1;2
04200146;201103  ;1;2
08200163;201203M ;1;2
06200064;208009  ;1;2
01114046;201206  ;1;2
00110555;201203M ;1;2
06200166;209006  ;1;2
01114046;201211  ;1;2
06200064;201103  ;1;2
04200172;201211  ;1;2
04200152;209007  ;1;2
05200179;201203M ;2;2
05200179;201207  ;1;2
08200135;201103  ;1;2
06200118;201205  ;1;2
06200150;208001  ;1;2
06200150;208007  ;1;2
06200150;208008  ;1;2
06200150;208010  ;1;2
05200057;209006  ;1;2
08200098;201103  ;1;2
08200098;201105  ;1;2
08200163;208003  ;1;2
08200163;208008  ;1;2
08200163;208009  ;1;2
08200163;209006  ;1;2
962808  ;208003  ;1;2
00110626;201210  ;1;2
08200135;208009  ;1;2
08200135;209006  ;1;2
08200135;209007  ;1;2
08200073;206010  ;1;2
06200118;201105  ;1;2
05200009;207010  ;1;2
08200073;208001  ;1;2
01113975;206009  ;4;2
01113975;206010  ;6;2
08200087;208010  ;1;2
06200118;208009  ;1;2
00115103;201106  ;2;2
00115103;204006  ;3;2
00115103;205009  ;7;2
