id_estudiante;id_curso;n_reprobaciones;id_semestre
110555;201203M ;1;2
110574;202009  ;6;6
110574;206008  ;11;6
110574;207008  ;3;6
110574;207010  ;6;3
110574;208003  ;3;6
110626;201210  ;1;2
110749;201103  ;1;2
110878;201203M ;4;3
110878;201205  ;1;6
110878;201211  ;3;6
110878;208008  ;2;3
115103;201106  ;4;3
115103;204006  ;9;6
115103;205009  ;14;3
115103;206001  ;6;6
115103;207007  ;6;6
115103;208007  ;4;3
942004;201205  ;1;2
962808;208003  ;1;2
962909;201001;1;33
962909;201007;1;34
962909;2010305;1;18
962909;2010607;1;40
962909;2010707;1;10
962909;2010901;1;32
962909;2011103;1;18
962909;20118032;1;40
962909;20118034;1;38
962909;20118056;1;39
962909;20118072;1;34
962909;20118081;1;38
962909;20118083;2;16
962909;20118095;1;28
962909;20118104;1;38
962909;201205;1;29
962909;201206  ;1;6
962909;201230303;1;30
962909;201231004;1;37
962909;201231005;1;8
962909;2020402;1;9
962909;2020605;1;29
962909;2020606;1;18
962909;2020703;1;35
962909;2021002;1;15
962909;202SW0204;1;35
962909;202SW0205;1;34
962909;202SW0306;1;17
962909;202SW0404;1;9
962909;202SW0407;1;32
962909;202SW0703;1;30
962909;202SW1005;1;38
962909;202W0803;1;17
962909;202W1001;1;36
962909;202W1002;1;11
962909;203230305;1;27
962909;203230403;1;12
962909;203230603;1;18
962909;203230606;1;14
962909;203230703;1;32
962909;203230901;1;39
962909;203C1004;1;40
962909;204001  ;1;6
962909;204002;1;39
962909;204004;2;35
962909;205006;1;18
962909;205009  ;6;6
962909;206007;1;14
962909;206008  ;2;6
962909;206009;1;40
962909;20W0202;1;37
962909;20W0203;1;34
962909;20W0205;1;31
962909;20W0302;1;11
962909;20W0402;1;8
962909;20W0405;1;37
962909;20W0406;1;30
962909;20W0501;1;33
962909;20W0806;1;31
962909;INE004;1;35
962909;INE008;1;38
962909;INO201;1;27
973021;203008  ;3;6
973021;206008  ;11;6
973021;206010  ;6;3
973021;206011  ;8;3
973084;201001;1;29
973084;2010205;1;33
973084;2010305;1;34
973084;2010503;1;10
973084;2010606;1;36
973084;2011102;1;31
973084;20118053;1;12
973084;20118081;1;33
973084;20118084;1;12
973084;201205;1;28
973084;201210;2;34
973084;201230302;1;27
973084;201230805;1;38
973084;202003;1;30
973084;202008;1;31
973084;2020401;2;19
973084;2020903;1;17
973084;2020905;1;29
973084;2021001;2;39
973084;2021098;1;27
973084;202SW0102;1;31
973084;202SW0605;1;34
973084;202SW0902;1;38
973084;202SW0E01;1;28
973084;202SW1003;1;31
973084;202W0504;1;34
973084;202W0807;1;33
973084;202W0901;1;28
973084;202W0902;1;40
973084;202W0905;1;14
973084;203006;1;18
973084;203230504;1;8
973084;203230603;1;11
973084;203230607;1;38
973084;203231001;1;28
973084;203C1004;1;29
973084;205008;1;31
973084;206009;1;35
973084;20W0304;1;16
973084;INE012;1;38
973084;INO203;1;32
997985;201105  ;1;2
1113975;206009  ;4;2
1113975;206010  ;6;2
1113991;202009  ;6;6
1113991;209005M ;4;3
1114046;201206  ;1;2
1114046;201211  ;1;2
1114126;205009  ;14;3
1114126;206008  ;6;3
1114126;207002  ;4;3
1114126;207003  ;1;6
1114197;206001  ;1;6
1114197;206008  ;1;6
1114197;207003  ;1;6
1114197;207008  ;1;6
1114197;208009  ;1;6
2200002;201203M ;2;3
2200002;205006  ;10;3
2200002;206008  ;2;3
2200002;207003  ;4;3
2200002;207007  ;2;3
2200002;207008  ;2;3
2200045;201105  ;2;6
2200045;201205  ;1;6
2200045;201210  ;1;2
2200045;205006  ;1;6
2200071;201105  ;2;6
2201005;204004  ;1;6
2201005;206007  ;1;6
2201005;206008  ;2;6
2201005;206010  ;2;6
2201005;206011  ;2;6
3200028;201203M ;3;6
3200028;206008  ;6;3
3200028;208010  ;3;6
4200015;207002  ;8;3
4200015;207007  ;4;3
4200015;208001  ;1;6
4200015;208003  ;1;6
4200015;208007  ;1;6
4200015;208009  ;1;6
4200026;202001  ;4;3
4200053;201208  ;2;3
4200053;201210  ;8;3
4200054;205006  ;2;6
4200054;207010  ;5;6
4200054;208008  ;1;6
4200054;208009  ;3;6
4200115;201203M ;4;3
4200115;208009  ;2;3
4200115;209003  ;4;3
4200115;209005M ;2;3
4200115;209006  ;2;3
4200146;201103  ;1;2
4200152;201205  ;1;2
4200152;209007  ;1;2
4200172;201211  ;1;2
5200003;204004  ;4;3
5200003;206008  ;12;3
5200003;208003  ;1;6
5200003;208007  ;2;3
5200005;208003  ;3;6
5200005;209006  ;1;6
5200009;205007  ;3;6
5200009;206001  ;1;6
5200009;206007  ;1;6
5200009;206009  ;1;6
5200009;206010  ;1;6
5200009;207010  ;2;6
5200017;201105  ;4;6
5200035;201206  ;1;2
5200046;203001  ;4;3
5200046;204001  ;1;6
5200046;204002  ;1;6
5200046;205006  ;4;3
5200046;205010  ;5;6
5200053;201104  ;2;3
5200053;201203M ;4;6
5200053;207008  ;2;3
5200053;208007  ;2;6
5200053;208008  ;1;6
5200053;208009  ;1;6
5200057;201211  ;1;2
5200057;209006  ;1;2
5200100;201001;1;28
5200100;2011107;1;35
5200100;20118031;2;31
5200100;20118085;1;17
5200100;20118095;2;35
5200100;201204;1;39
5200100;201230301;1;18
5200100;201230604;1;32
5200100;201230906;1;28
5200100;202001  ;1;6
5200100;202008;1;34
5200100;202009;1;33
5200100;2020103;1;33
5200100;2020206;1;17
5200100;2020303;1;37
5200100;2020306;1;37
5200100;2020506;1;32
5200100;2020705;1;30
5200100;2020905;1;37
5200100;2021099;1;29
5200100;202SW0202;1;35
5200100;202SW0702;1;35
5200100;202SW0704;1;39
5200100;202W0702;1;18
5200100;203005;1;40
5200100;203005  ;1;6
5200100;203230303;1;13
5200100;203230304;1;17
5200100;203230307;1;15
5200100;203230603;1;29
5200100;203230604;1;11
5200100;203230804;1;33
5200100;203230902;1;31
5200100;205008;1;30
5200100;205010  ;1;6
5200100;206011;1;13
5200100;207003;1;27
5200100;208008;1;13
5200100;20W0103;1;13
5200100;20W0302;1;9
5200100;20W0406;1;11
5200100;20W0804;1;36
5200100;20W1001;1;15
5200100;INE012;1;10
5200100;INE015;1;33
5200100;INO104;1;37
5200100;INO105;1;31
5200117;208001  ;1;2
5200117;208003  ;1;6
5200117;208009  ;1;2
5200127;201203M ;8;3
5200127;206008  ;14;3
5200127;207002  ;6;3
5200127;208007  ;4;3
5200127;208009  ;7;6
5200127;209003  ;6;6
5200161;201105  ;4;3
5200179;201203M ;2;2
5200179;201207  ;1;2
6200015;207002  ;6;6
6200015;207007  ;6;6
6200015;207008  ;23;6
6200015;209008  ;3;6
6200064;201103  ;1;2
6200064;201105  ;1;6
6200064;201205  ;1;2
6200064;208009  ;1;2
6200075;201104  ;1;6
6200075;201208  ;1;6
6200075;205007  ;3;6
6200086;201211  ;3;6
6200086;209007  ;8;6
6200118;201105  ;4;6
6200118;201205  ;1;2
6200118;208009  ;4;6
6200147;202008  ;8;6
6200147;205008  ;2;3
6200147;209005M ;1;6
6200147;209008  ;2;6
6200150;201104  ;1;6
6200150;201203M ;1;2
6200150;201208  ;2;6
6200150;208001  ;3;6
6200150;208003  ;1;6
6200150;208007  ;3;6
6200150;208008  ;3;6
6200150;208010  ;2;6
6200150;209005M ;1;6
6200164;209007  ;6;6
6200166;201103  ;1;2
6200166;209006  ;1;2
6200176;201105  ;2;3
6200177;201203M ;2;6
6200177;208010  ;1;6
6200177;209007  ;1;6
6200193;201008;1;17
6200193;2010104;1;30
6200193;2010204;1;33
6200193;2010305;1;35
6200193;2010503;1;34
6200193;2010706;1;13
6200193;20118053;1;31
6200193;20118055;1;9
6200193;20118057;1;27
6200193;20118063;1;17
6200193;20118071;1;36
6200193;20118077;1;28
6200193;201204;1;17
6200193;201230306;1;39
6200193;201230405;1;40
6200193;201230801;1;30
6200193;2020505;1;38
6200193;2020605;2;30
6200193;2020803;1;40
6200193;2021098;1;30
6200193;202SW0104;1;33
6200193;202SW0205;1;18
6200193;202SW0406;1;40
6200193;202SW0605;1;19
6200193;202SW0702;1;30
6200193;202SW0703;1;31
6200193;202SW0704;1;11
6200193;202SW0802;1;27
6200193;202SW0803;1;8
6200193;202SW0E03;1;8
6200193;202SW0E08;1;36
6200193;202W0406;1;37
6200193;202W0701;1;17
