id_semestre;nombre;inicio;fin;id_escuela
1;20190;8/01/2019;4/03/2019;1
2;20191;25/03/2019;12/07/2019;1
3;20192;19/08/2019;6/12/2019;1
4;20200;8/01/2020;4/03/2020;1
5;20201;25/03/2020;11/07/2020;1
6;20202;19/08/2020;5/12/2020;1
7;20210;8/01/2021;4/03/2021;1
8;20211;25/03/2021;12/07/2021;1
9;20212;19/08/2021;4/12/2021;1
10;20220;8/01/2022;4/03/2022;1
11;20221;25/03/2022;12/07/2022;1
12;20222;19/08/2022;6/12/2022;1
13;20230;9/01/2023;4/03/2023;1
14;20231;25/03/2023;11/07/2023;1
15;20232;19/08/2023;6/12/2023;1
16;20240;8/01/2024;4/03/2024;1
17;20241;25/03/2024;12/07/2024;1
18;20242;19/08/2024;6/12/2024;1
19;20250;8/01/2025;4/03/2025;1
20;20251;24/03/2025;12/07/2025;1
21;20190;8/01/2019;4/03/2019;2
22;20191;25/03/2019;12/07/2019;2
23;20192;19/08/2019;6/12/2019;2
24;20200;8/01/2020;4/03/2020;2
25;20201;25/03/2020;11/07/2020;2
26;20202;19/08/2020;5/12/2020;2
27;20210;8/01/2021;4/03/2021;2
28;20211;25/03/2021;12/07/2021;2
29;20212;19/08/2021;4/12/2021;2
30;20220;8/01/2022;4/03/2022;2
31;20221;25/03/2022;12/07/2022;2
32;20222;19/08/2022;6/12/2022;2
33;20230;9/01/2023;4/03/2023;2
34;20231;25/03/2023;11/07/2023;2
35;20232;19/08/2023;6/12/2023;2
36;20240;8/01/2024;4/03/2024;2
37;20241;25/03/2024;12/07/2024;2
38;20242;19/08/2024;6/12/2024;2
39;20250;8/01/2025;4/03/2025;2
40;20251;24/03/2025;12/07/2025;2
41;20241;25/03/2024;12/07/2024;3
42;20242;19/08/2024;6/12/2024;3
43;20250;8/01/2025;4/03/2025;3
44;20251;24/03/2025;12/07/2025;3
