id_tutoria;id_estudiante;id_semestre;tipo_autorizacion;num_res_autoriza
1;05200109;2;AM ;RD N°138-D-FISI-19                      
2;05200109;2;AM ;RD N°138-D-FISI-19                      
3;06200086;2;TO ;RD 125-D-FISI-19                        
4;07200092;2;TO ;RD 125-D-FISI-19                        
5;04200026;2;TO ;RD 125-D-FISI-19                        
6;04200026;2;TO ;RD125-D-FISI-19                         
7;04200053;2;TO ;RD 125-D-FISI-19                        
8;04200053;2;TO ;RD 125-D-FISI-19                        
9;08200112;2;TO ;RD 125-D-FISI-19                        
10;08200112;2;TO ;RD 125-D-FISI19                         
11;01113991;2;TO ;RD 125-D-FISI-19                        
12;01113991;2;TO ;RD 125-D-FISI-19                        
13;08200009;2;TO ;RD 125-D-FISI-19                        
14;02200002;2;TO ;RD 138-D-FISI-19                        
15;02200002;2;TO ;RD 138-D-FISI-19                        
16;00110626;2;TO ;RD 125-D-FISI-19                        
17;08200061;2;TO ;RD 125-D-FISI-19                        
18;01114046;2;TO ;RD 125-D-FISI-19                        
19;04200152;2;TO ;RD 125-D-FISI-19                        
20;04200172;2;TO ;RD 125-D-FISI-19                        
21;04200172;2;TO ;RD 125-D-FISI-19                        
22;07200076;2;TO ;RD 125-D-FISI-19                        
23;07200063;2;TO ;RD 125-D-FISI-19                        
24;07200140;2;TO ;RD 125-D-FISI-19                        
25;07200140;2;TO ;RD 125-D-FISI-19                        
26;07200108;2;TO ;RD 125-D-FISI-19                        
27;07200108;2;TO ;RD 125-D-FISI-19                        
28;07200108;2;TO ;RD 125-D-FISI-19                        
29;05200003;2;TO ;RD 125-D-FISI-19                        
30;05200003;2;TO ;RD 125-D-FISI-19                        
31;05200003;2;TO ;RD 125-D-FISI-19                        
32;07200080;2;TO ;RD 125-D-FISI-19                        
33;04200115;2;TO ;RD 125-D-FISI-19                        
34;04200115;2;TO ;RD 125-D-FISI-19                        
35;04200115;2;TO ;RD 125-D-FISI-19                        
36;00110574;2;TO ;RD 125-D-FISI-19                        
37;00110574;2;TO ;RD 125-D-FISI-19                        
38;00110574;2;TO ;RD 125-D-FISI-19                        
39;05200127;2;TO ;RD 125-D-FISI-19                        
40;05200127;2;TO ;RD 125-D-FISI-19                        
41;08200153;2;TO ;RD 125-D-FISI-19                        
42;07200060;2;TO ;RD 125-D-FISI-19                        
43;02200071;2;TO ;RD 125-D-FISI-19                        
44;00115103;2;TO ;RD 125-D-FISI-19                        
45;02201005;2;TO ;RD 125-D-FISI-19                        
46;06200015;2;TO ;RD 125-D-FISI-19                        
47;06200015;2;TO ;RD 125-D-FISI-19                        
48;01113975;2;TO ;RD 125-D-FISI-19                        
49;01113975;2;TO ;RD 125-D-FISI-19                        
50;01114126;2;TO ;RD 125-D-FISI-19                        
51;01114126;2;TO ;RD 125-D-FISI-19                        
52;962909  ;2;TO ;RD 405-D-FISI-2019                      
53;08200056;2;TO ;RD 138-D-FISI-19                        
54;05200057;2;TO ;RD 138-D-FISI-19                        
55;05200057;2;TO ;RD 138-D-FISI-19                        
56;06200118;2;TO ;RD 138-D-FISI-19                        
57;07200092;2;TO ;RD 164-D-FISI-19                        
58;05200179;2;TO ;RD 164-D-FISI-19                        
59;07200186;2;TO ;RD 164-D-FISI-19                        
60;05200117;2;TO ;RD 174-D-FISI-19                        
61;05200117;2;TO ;RD 174-D-FISI-19                        
62;08200048;2;TO ;RD 174-D-FISI-19                        
63;08200163;2;TO ;RD 174-D-FISI-19                        
64;08200073;2;AM ;RD N°126-D-FISI-19                      
65;07200055;2;AM ;RD N°126-D-FISI-19                      
66;07200055;2;AM ;RD N°126-D-FISI-19                      
67;08200008;2;AM ;RD N°126-D-FISI-19                      
68;07200031;2;AM ;RD N°126-D-FISI-19                      
69;08200081;2;AM ;RD N°126-D-FISI-19                      
70;08200081;2;AM ;RD N°126-D-FISI-19                      
71;08200187;2;AM ;RD N°126-D-FISI-19                      
72;04200015;2;AM ;RD N°126-D-FISI-19                      
73;07200077;2;AM ;RD N°126-D-FISI-19                      
74;06200150;2;AM ;RD N°126-D-FISI-19                      
75;03200028;2;AM ;RD N°126-D-FISI-19                      
76;03200028;2;AM ;RD N°126-D-FISI-19                      
77;08200090;2;AM ;RD N°126-D-FISI-19                      
78;08200090;2;AM ;RD N°126-D-FISI-19                      
79;05200017;2;AM ;RD N°126-D-FISI-19                      
80;08200182;2;AM ;RD N°126-D-FISI-19                      
81;02200045;2;AM ;RD N°126-D-FISI-19                      
82;973021  ;2;AM ;RD N°126-D-FISI-19                      
83;973021  ;2;AM ;RD N°126-D-FISI-19                      
84;05200009;2;AM ;RD N°126-D-FISI-19                      
85;05200009;2;AM ;RD N°126-D-FISI-19                      
86;16200130;2;TO ;RD 125-D-FISI-19                        
87;14200091;2;TO ;RD 125-D-FISI-19                        
88;14200091;2;TO ;RD 125-D-FISI-19                        
89;17200165;2;TO ;RD 125-D-FISI-19                        
90;13200098;2;TO ;RD 125-D-FISI-19                        
91;16200178;2;TO ;RD 125-D-FISI-19                        
92;14200175;2;TO ;RD 125-D-FISI-19                        
93;14200020;2;TO ;RD 125-D-FISI-19                        
94;13200166;2;TO ;RD 125-D-FISI-19                        
95;13200166;2;TO ;RD 125-D-FISI-19                        
96;15200128;2;TO ;RD 125-D-FISI-2019                      
97;17200041;2;TO ;RD 125-D-FISI-19                        
98;14200036;2;TO ;RD 125-D-FISI-2019                      
99;14200036;2;TO ;RD 125-D-FISI-2019                      
100;15200131;2;TO ;RD 125-D-FISI-19                        
101;15200131;2;TO ;RD 125-D-FISI-19                        
102;11200087;2;TO ;RD 125-D-FISI-19                        
103;17200175;2;TO ;RD 125-D-FISI-19                        
104;17200237;2;TO ;RD 125-D-FISI-19                        
105;17200237;2;TO ;RD 125-D-FISI-19                        
106;17200237;2;TO ;RD 125-D-FISI-19                        
107;17200176;2;TO ;RD 125-D-FISI-19                        
108;17200048;2;TO ;RD 125-D-FISI-2019                      
109;17200048;2;TO ;RD 125-D-FISI-2019                      
110;14200104;2;TO ;RD 125-D-FISI-19                        
111;16200139;2;TO ;RD 125-D-FISI-19                        
112;12200164;2;TO ;RD 125-D-FISI-19                        
113;10200224;2;TO ;RD 125-D-FISI-2019                      
114;17200177;2;TO ;RD 125-D-FISI-19                        
115;17200177;2;TO ;RD 125-D-FISI-19                        
116;13200172;2;TO ;RD 125-D-FISI-2019                      
117;17200180;2;TO ;RD 125-D-FISI-19                        
118;17200180;2;TO ;RD 125-D-FISI-19                        
119;17200180;2;TO ;RD 125-D-FISI-19                        
120;17200180;2;TO ;RD 125-D-FISI-19                        
121;14200026;2;TO ;RD 125-D-FISI-19                        
122;13200206;2;TO ;RD 125-D-FISI-19                        
123;16200145;2;TO ;RD 125-D-FISI-19                        
124;11200098;2;TO ;RD 125-D-FISI-19                        
125;15200176;2;TO ;RD 125-D-FISI-19                        
126;15200176;2;TO ;RD 125-D-FISI-19                        
127;13200202;2;TO ;RD 125-D-FISI-19                        
128;16200149;2;TO ;RD 125-D-FISI-19                        
129;16200149;2;TO ;RD 125-D-FISI-19                        
130;17200067;2;TO ;RD 125-D-FISI-19                        
131;17200067;2;TO ;RD 125-D-FISI-19                        
132;17200188;2;AM ;RD 125-D-FISI-19                        
133;15200176;2;TO ;RD 125-D-FISI-19                        
134;15200034;2;TO ;RD 125-D-FISI-2019                      
135;14200034;2;TO ;RD 125-D-FISI-19                        
136;15200142;2;TO ;RD 125-D-FISI-19                        
137;15200142;2;TO ;RD 125-D-FISI-19                        
138;13200175;2;TO ;RD 125-D-FISI-19                        
139;15200176;2;TO ;RD 125-D-FISI-19                        
140;14200109;2;TO ;RD 125-D-FISI-19                        
141;14200109;2;TO ;RD 125-D-FISI-19                        
142;15200057;2;TO ;RD 125-D-FISI-19                        
143;15200036;2;TO ;RD 125-D-FISI-19                        
144;14200148;2;TO ;RD 125-D-FISI-19                        
145;17200241;2;TO ;RD 125-D-FISI-19                        
146;17200241;2;TO ;RD 125-D-FISI-19                        
147;11200103;2;AM ;RD 125-D-FISI-19                        
148;15200152;2;TO ;RD 125-D-FISI-19                        
149;15200152;2;TO ;RD 125-D-FISI-19                        
150;15200152;2;TO ;RD 125-D-FISI-19                        
151;16200185;2;TO ;RD 125-D-FISI-19                        
152;14200178;2;TO ;RD 125-D-FISI-19                        
153;14200178;2;TO ;RD 125-D-FISI-19                        
154;17200199;2;TO ;RD 125-D-FISI-19                        
155;17200199;2;TO ;RD 125-D-FISI-19                        
156;14200040;2;TO ;RD 125-D-FISI-19                        
157;14200115;2;TO ;RD 125-D-FISI-19                        
158;14200115;2;TO ;RD 125-D-FISI-19                        
159;13200041;2;TO ;RD 125-D-FISI-19                        
160;13200041;2;TO ;RD 125-D-FISI-19                        
161;11200193;2;TO ;RD 125-D-FISI-19                        
162;15200061;2;AM ;RD 125-D-FISI-19                        
163;16200159;2;TO ;RD 125-D-FISI-19                        
164;15200188;2;TO ;RD 125-D-FISI-19                        
165;14200159;2;TO ;RD 125-D-FISI-19                        
166;17200244;2;TO ;RD 125-D-FISI-19                        
167;17200008;2;TO ;RD 125-D-FISI-19                        
168;17200008;2;TO ;RD 125-D-FISI-19                        
169;14200162;2;TO ;RD 125-D-FISI-19                        
170;17200015;2;TO ;RD 125-D-FISI-19                        
171;17200015;2;TO ;RD 125-D-FISI-19                        
172;16200164;2;TO ;RD 125-D-FISI-19                        
173;14200089;2;TO ;RD 125-D-FISI-19                        
174;17200165;2;TO ;RD 125-D-FISI-19                        
175;12200021;2;TO ;RD 125-D-FISI-19                        
176;16200136;2;AM ;RD 125-D-FISI-19                        
177;16200136;2;AM ;RD 125-D-FISI-19                        
178;16200024;2;TO ;RD 125-D-FISI-19                        
179;11200189;2;TO ;RD 125-D-FISI-19                        
180;16200050;2;TO ;RD 125-D-FISI-19                        
181;16200050;2;TO ;RD 125-D-FISI-19                        
182;10200203;2;TO ;RD 125-D-FISI-19                        
183;10200150;2;TO ;RD 138-D-FISI-19                        
184;15200047;2;TO ;RD 138-D-FISI-19                        
185;13200150;2;TO ;RD 138-D-FISI-19                        
186;13200150;2;TO ;RD 138-D-FISI-19                        
187;17200069;2;TO ;RD 138-D-FISI-19                        
188;17200069;2;TO ;RD 138-D-FISI-19                        
189;17200152;2;TO ;RD 138-D-FISI-19                        
190;17200054;2;TO ;RD 138-D-FISI-19                        
191;16200121;2;TO ;RD 138-D-FISI-19                        
192;16200121;2;TO ;RD 138-D-FISI-19                        
193;16200121;2;TO ;RD 138-D-FISI-19                        
194;15200181;2;TO ;RD 138-D-FISI-19                        
195;15200181;2;TO ;RD 138-D-FISI-19                        
196;17200160;2;TO ;RD 138-D-FISI-19                        
197;17200160;2;TO ;RD 138-D-FISI-19                        
198;15200023;2;TO ;RD 138-D-FISI-19                        
199;16200021;2;TO ;RD 138-D-FISI-19                        
200;16200134;2;TO ;RD 138-D-FISI-19                        
201;17200175;2;TO ;RD 138-D-FISI-19                        
202;13200073;2;TO ;RD 138-D-FISI-19                        
203;13200073;2;TO ;RD 138-D-FISI-19                        
204;16200199;2;TO ;RD 138-D-FISI-19                        
205;12200109;2;TO ;RD 138-D-FISI-19                        
206;10200120;2;TO ;RD 138-D-FISI-19                        
207;16200048;2;TO ;RD 138-D-FISI-19                        
208;17200024;2;TO ;RD 138-D-FISI-2019                      
209;17200024;2;TO ;RD 138-D-FISI-2019                      
210;17200024;2;TO ;RD 138-D-FISI-2019                      
211;12200112;2;TO ;RD 138-D-FISI-19                        
212;16200153;2;TO ;RD 138-D-FISI-19                        
213;17200202;2;TO ;RD 138-D-FISI-2019                      
214;14200114;2;TO ;RD 138-D-FISI-19                        
215;14200114;2;TO ;RD 138-D-FISI-19                        
216;14200114;2;TO ;RD 138-D-FISI-19                        
217;16200032;2;TO ;RD 138-D-FISI-19                        
218;16200032;2;TO ;RD 138-D-FISI-19                        
219;11200045;2;AM ;RD N°126-D-FISI-19                      
220;15200048;2;AM ;RD N°126-D-FISI-19                      
221;17200051;2;TO ;RD 164-D-FISI-19                        
222;16200004;2;TO ;RD 164-D-FISI-19                        
223;11200004;2;TO ;RD 164-D-FISI-19                        
224;11200061;2;TO ;RD 164-D-FISI-19                        
225;11200061;2;TO ;RD 164-D-FISI-19                        
226;13200151;2;TO ;RD 164-D-FISI-19                        
227;13200151;2;TO ;RD 164-D-FISI-19                        
228;16200120;2;TO ;RD 164-D-FISI-19                        
229;16200017;2;TO ;RD 164-D-FISI-19                        
230;16200017;2;TO ;RD 164-D-FISI-19                        
231;13200179;2;TO ;RD 164-D-FISI-19                        
232;15200148;2;TO ;RD 164-D-FISI-19                        
233;13200030;2;TO ;RD 164-D-FISI-19                        
234;15200136;2;TO ;RD 164-D-FISI-19                        
235;15200136;2;TO ;RD 164-D-FISI-19                        
236;09200132;2;TO ;RD 164-D-FISI-19                        
237;12200171;2;TO ;RD 164-D-FISI-19                        
238;13200104;2;TO ;RD 174-D-FISI-19                        
239;17200038;2;TO ;RD 164-D-FISI-19                        
240;17200038;2;TO ;RD 164-D-FISI-19                        
241;12200129;2;TO ;RD 164-D-FISI-19                        
242;09200005;2;TO ;RD 174-D-FISI-19                        
243;09200013;2;TO ;RD 174-D-FISI-19                        
244;09200013;2;TO ;RD 174-D-FISI-19                        
245;09200013;2;TO ;RD 174-D-FISI-19                        
246;15200115;2;TO ;RD 174-D-FISI-19                        
247;15200115;2;TO ;RD 174-D-FISI-19                        
248;15200115;2;TO ;RD 174-D-FISI-19                        
249;08160007;2;TO ;RD 174-D-FISI-19                        
250;08160007;2;TO ;RD 174-D-FISI-19                        
251;08160007;2;TO ;RD 174-D-FISI-19                        
252;15200097;2;AM ;RD N° 00126-D-FISI                      
253;12200071;2;AM ;RD N°126-D-FISI-19                      
254;14200002;2;AM ;RD N°126-D-FISI-19                      
255;14200002;2;AM ;RD N°126-D-FISI-19                      
256;09200002;2;AM ;RD N°126-D-FISI-19                      
257;11200045;2;AM ;RD N°126-D-FISI-19                      
258;10200073;2;AM ;RD N°126-D-FISI-19                      
259;16200105;2;AM ;RD N°126-D-FISI-19                      
260;17200071;2;AM ;RD N°126-D-FISI-19                      
261;17200071;2;AM ;RD N°126-D-FISI-19                      
