id_curso;nombre;tipo;creditos;t_aprobacion;id_ciclo
201001;ALGORÍTMICA I;O;4;;2
201003;CALCULO I;O;4;;2
201004;MATEMÁTICA BÁSICA I;O;4;;2
201007;COMPUTACIÓN E INFORMÁTICA;O;4;;2
201008;TEORIA DE SISTEMAS;O;3;;2
201009;TALLER DE TECNICAS DE ESTUDIO;O;3;;2
202001;ALGORÍTMICA II;O;4;;3
202003;CÁLCULO II;O;4;;3
202004;MATEMÁTICA BÁSICA II;O;4;;3
202007;FISICA GENERAL;O;4;;3
202008;ESTRUCTURA DE DATOS;O;4;;3
202009;ECONOMIA;O;2;;3
203001;ALGORÍTMICA III;O;4;;4
203004;MATEMÁTICA DISCRETA;O;4;;4
203005;ESTADÍSTICA I;O;4;;4
203006;DISEÑO GRÁFICO;O;3;;4
203007;ELECTROMAGNETISMO;O;3;;4
203008;ORGANIZACIÓN Y ADMINISTRACIÓN;O;3;;4
204001;TÉCNICAS DE MODELAMIENTO;O;4;;5
204002;COMPUTACIÓN GRÁFICA;O;4;;5
204004;ECUACIONES DIFERENCIALES;O;4;;5
204006;ESTADISTICA II;O;4;;5
204007;CIRCUITOS DIGITALES;O;4;;5
204008;CONTABILIDAD GENERAL;O;2;;5
205001;BASE DE DATOS;O;4;;6
205006;MÉTODOS NUMÉRICOS;O;3;;6
205007;INVESTIGACIÓN OPERATIVA I;O;4;;6
205008;SISTEMAS DIGITALES;O;4;;6
205009;LENGUAJES Y TRADUCTORES;O;3;;6
205010;CONTABILIDAD GERENCIAL;O;3;;6
206001;SISTEMAS OPERATIVOS;O;4;;7
206007;ANÁLISIS DE SISTEMAS;O;4;;7
206008;INVESTIGACIÓN OPERATIVA II;O;4;;7
206009;TRANSMISIÓN DE DATOS;O;4;;7
206010;ARQUITECTURA DE COMPUTADORAS;O;4;;7
206011;TALLER DE PROYECTOS I;O;3;;7
207002;REDES DE COMPUTADORAS;O;4;;8
207003;DISEÑO DE SISTEMAS;O;4;;8
207007;DISEÑO DE INTERFACE DE USUARIO;O;3;;8
207008;INTELIGENCIA ARTIFICIAL;O;4;;8
207009;MODELOS Y SIMULACIÓN;O;4;;8
207010;INGENIERÍA ECONÓMICA;O;3;;8
208001;INGENIERIA DE INFORMACION;O;4;;9
208003;SISTEMAS DISTRIBUIDOS;O;4;;9
