id_ct;id_estudiante;id_curso;id_semestre;nota;id_ciclo
143986;8200187;201003;2;16;2
143987;6200206;201101;2;15;11
143988;7200092;201101;2;6;11
143989;110749;201101;2;14;11
143990;4200074;201101;2;12;11
143991;5200035;201101;2;11;11
143992;110878;201101;2;13;11
143993;6200064;201101;2;16;11
143994;8200056;201101;2;10;11
143995;6200118;201101;2;13;11
143996;7200122;201101;2;10;11
143997;8200098;201101;2;14;11
143998;8200045;201101;2;14;11
143999;6200166;201103;2;17;11
144000;6200206;201103;2;16;11
144001;110749;201103;2;15;11
144002;4200146;201103;2;14;11
144003;6200064;201103;2;16;11
144004;7200122;201103;2;15;11
144005;8200098;201103;2;14;11
144006;8200135;201103;2;14;11
144007;8200045;201103;2;16;11
144008;8200188;201103;2;15;11
144009;962808;201104;2;11;11
144010;962909;201104;2;6;11
144011;110749;201104;2;12;11
144012;5200179;201104;2;11;11
144013;5200035;201104;2;12;11
144014;110878;201104;2;13;11
144015;7200186;201104;2;11;11
144016;8200098;201104;2;12;11
144017;8200045;201104;2;12;11
144018;7200055;201104;2;12;11
144019;6200206;201104;2;15;11
144020;5200109;201104;2;15;11
144021;4200146;201104;2;14;11
144022;8200169;201104;2;15;11
144023;8200092;201104;2;14;11
144024;8200213;201104;2;2;11
144025;5200109;201105;2;15;11
144026;5200161;201105;2;6;11
144027;8200045;201105;2;17;11
144028;997985;201105;2;5;11
144029;110626;201105;2;11;11
144030;7200186;201105;2;13;11
144031;6200206;201105;2;15;11
144032;110749;201105;2;13;11
144033;8200098;201105;2;0;11
144034;4200172;201105;2;15;11
144035;7200121;201105;2;0;11
144036;7200076;201105;2;13;11
144037;4200074;201105;2;12;11
144038;5200143;201105;2;19;11
144039;7200060;201105;2;15;11
144040;6200118;201105;2;0;11
144041;8200102;201105;2;12;11
144042;8200092;201105;2;3;11
144043;8200213;201105;2;0;11
144044;6200206;201106;2;14;11
144045;4200146;201106;2;13;11
144046;2200045;201106;2;14;11
144059;6200064;201205;2;3;1
144060;6200118;201205;2;3;1
144061;7200122;201205;2;11;1
144062;8200102;201205;2;12;1
144063;8200188;201205;2;14;1
144064;942004;201205;2;11;1
144065;1114046;201207;2;12;1
144066;4200074;201207;2;12;1
144067;5200161;201207;2;12;1
144068;8200092;201207;2;10;1
144069;1114046;201208;2;16;1
144070;5200179;201208;2;14;1
144071;4200172;201210;2;14;1
144072;1114046;201210;2;12;1
144073;2200045;201210;2;0;1
144074;4200053;201210;2;7;1
144075;7200186;201210;2;10;1
144076;7200055;201210;2;4;1
144077;4200152;201211;2;12;1
144078;8200021;201211;2;0;1
144079;8200187;202004;2;15;3
144080;4200026;202007;2;11;3
144081;6200147;202008;2;0;3
144082;5200046;203001;2;9;4
144083;4200026;203005;2;12;4
144084;8200187;203008;2;14;4
144085;7200055;204004;2;9;5
144086;7200108;204004;2;0;5
144087;7200108;205001;2;0;6
144088;5200046;205006;2;0;6
144089;8200061;205006;2;13;6
144090;2200002;205006;2;7;6
144091;7200186;205006;2;0;6
144092;8200021;205006;2;13;6
144093;6200147;205008;2;7;6
144094;5200009;205008;2;11;6
144095;4200115;205008;2;11;6
144096;5200009;205009;2;12;6
144097;1114126;205009;2;6;6
144098;115103;205009;2;6;6
144099;8200153;205009;2;1;6
144100;962909;205009;2;0;6
144101;80A662  ;205010;2;13;6
144102;8200182;206001;2;13;7
144103;3200028;206007;2;12;7
144104;8200061;206007;2;9;7
144105;8200182;206008;2;4;7
144106;1114126;206008;2;1;7
144107;5200003;206008;2;6;7
144108;5200127;206008;2;8;7
144109;973021;206008;2;2;7
144110;962909;206008;2;0;7
144111;973021;206009;2;13;7
144112;1113975;206009;2;0;7
144113;5200003;206010;2;14;7
144114;973021;206010;2;0;7
144115;8200182;206010;2;14;7
144116;1113975;206010;2;0;7
144117;8200081;206011;2;0;7
144118;5200117;207002;2;11;8
144119;1113991;207002;2;14;8
144120;80A662  ;207002;2;11;8
144121;4200015;207002;2;1;8
144122;8200061;207002;2;11;8
144123;6200153;207007;2;12;8
144124;4200015;207007;2;0;8
144125;5200117;207008;2;11;8
144126;1113991;207008;2;13;8
144127;962808;207008;2;12;8
144128;962909;207008;2;12;8
144129;3200028;207008;2;15;8
144130;8200073;207008;2;15;8
144131;8200009;207008;2;12;8
144132;6200015;207008;2;2;8
144133;5200003;207008;2;11;8
144134;4200115;207008;2;15;8
144135;1113991;207009;2;15;8
144136;6200015;207009;2;12;8
144137;4200115;207009;2;13;8
144138;8200182;207010;2;15;8
144139;7200108;207010;2;17;8
144140;110574;207010;2;0;8
144141;6200147;207010;2;13;8
144142;2200002;207010;2;14;8
144143;5200117;208001;2;10;9
144144;1113991;208001;2;16;9
144145;962808;208001;2;17;9
144146;6200150;208001;2;10;9
144147;6200153;208001;2;17;9
144148;8200021;208001;2;17;9
144149;8200090;208001;2;10;9
144150;8200192;208001;2;18;9
144151;962808;208003;2;10;9
144152;6200153;208003;2;12;9
144153;110878;208003;2;11;9
144154;8200163;208003;2;0;9
144155;8200192;208003;2;15;9
144156;6200150;208007;2;0;9
144157;6200153;208007;2;14;9
144158;8200090;208007;2;0;9
144159;8200192;208007;2;14;9
144160;110574;208007;2;13;9
144161;8200163;208008;2;0;9
144162;110555;208008;2;12;9
144163;4200146;208008;2;12;9
144164;7200031;208008;2;0;9
144165;6200150;208008;2;0;9
144166;942004;208008;2;13;9
144167;8200192;208008;2;13;9
144168;110878;208008;2;6;9
144169;5200057;208008;2;15;9
144170;8200169;208008;2;18;9
144171;8200090;208008;2;0;9
144172;8200087;208008;2;17;9
144173;6200166;208008;2;11;9
144174;5200117;208009;2;0;9
144175;6200166;208009;2;11;9
144176;80A662  ;208009;2;12;9
144177;110878;208009;2;14;9
144178;8200056;208009;2;14;9
144179;6200086;208009;2;15;9
144180;8200021;208009;2;14;9
144181;8200192;208009;2;13;9
144182;7200055;208010;2;13;9
144183;8200087;208010;2;0;9
144184;2200071;208010;2;15;9
144187;1114046;209003;2;15;10
144188;997985;209003;2;14;10
144189;6200166;209003;2;15;10
144190;4200146;209003;2;14;10
144191;8200163;209003;2;12;10
144192;8200169;209003;2;14;10
144193;8200135;209003;2;14;10
144197;6200166;209006;2;17;10
144198;5200057;209006;2;18;10
144199;7200186;209006;2;16;10
144200;8200135;209006;2;1;10
144201;8200188;209006;2;12;10
144202;8200135;209007;2;0;10
144203;7200092;209007;2;10;10
144204;4200152;209007;2;3;10
144205;6200086;209007;2;3;10
144206;7200055;209007;2;11;10
144207;5200035;209007;2;13;10
144208;8200056;209007;2;5;10
144209;4200053;209007;2;11;10
144210;7200122;209007;2;12;10
144211;8200188;209007;2;10;10
144212;6200064;209007;2;16;10
144213;7200077;209007;2;4;10
144214;6200150;209008;2;12;10
144215;942004;209008;2;12;10
144216;13200170;201101;2;12;11
144217;13200176;201101;2;5;11
144218;13200191;201101;2;13;11
144219;13200205;201101;2;12;11
144220;10200101;201101;2;14;11
144221;11200232;201101;2;11;11
144222;12200009;201101;2;13;11
144223;12200014;201101;2;14;11
144224;12200115;201101;2;12;11
144225;13200085;201101;2;12;11
144226;13200031;201101;2;13;11
144227;13200037;201101;2;12;11
144228;13200046;201101;2;12;11
144229;13200099;201101;2;14;11
144230;10200072;201101;2;14;11
144231;13200177;201101;2;14;11
144232;9200120;201101;2;13;11
144233;10200120;201101;2;18;11
144234;12200129;201101;2;6;11
144235;12200098;201101;2;6;11
144236;13200138;201101;2;6;11
144237;10200185;201101;2;6;11
144238;13200003;201101;2;18;11
144239;10200205;201101;2;16;11
144240;9200176;201101;2;6;11
144241;13200032;201101;2;16;11
144242;13200096;201101;2;16;11
144243;13200104;201101;2;6;11
144244;11200087;201101;2;16;11
144245;10200073;201101;2;15;11
144246;13200177;201103;2;15;11
144247;13200179;201103;2;14;11
144248;10200085;201103;2;14;11
144249;13200191;201103;2;14;11
144250;13200205;201103;2;14;11
144251;10200101;201103;2;13;11
144252;10200118;201103;2;14;11
144253;10200134;201103;2;13;11
144254;11200232;201103;2;14;11
144255;12200009;201103;2;15;11
144256;12200098;201103;2;15;11
144257;13200134;201103;2;14;11
144258;12200043;201103;2;13;11
144259;13200080;201103;2;12;11
144260;10200205;201103;2;15;11
144261;9200047;201103;2;15;11
144262;13200037;201103;2;17;11
144263;13200096;201103;2;15;11
144264;13200099;201103;2;15;11
144265;10200072;201103;2;14;11
144266;10200073;201103;2;12;11
144267;9200010;201103;2;14;11
144268;13200187;201104;2;10;11
144269;10200116;201104;2;14;11
144270;12200135;201104;2;15;11
144271;13200014;201104;2;13;11
144272;12200071;201104;2;14;11
144273;9200047;201104;2;15;11
144274;13200031;201104;2;14;11
144275;13200037;201104;2;12;11
144276;11200087;201104;2;13;11
144277;11200103;201104;2;13;11
144278;9200082;201104;2;12;11
144279;10200085;201104;2;15;11
144280;13200191;201104;2;13;11
144281;10200101;201104;2;14;11
144282;11200076;201104;2;11;11
144283;10200118;201104;2;15;11
144284;10200126;201104;2;13;11
144285;12200116;201104;2;13;11
144286;12200098;201104;2;14;11
144287;13200134;201104;2;15;11
144288;12200043;201104;2;13;11
144289;13200085;201104;2;14;11
144290;13200088;201104;2;13;11
144291;13200003;201104;2;12;11
144292;13200008;201104;2;12;11
144293;13200011;201104;2;14;11
144294;10200205;201104;2;15;11
144295;13200096;201104;2;14;11
144296;13200099;201104;2;12;11
144297;11200089;201104;2;13;11
144298;10200014;201104;2;15;11
144299;10200072;201104;2;12;11
144300;10200078;201104;2;4;11
144301;9200010;201104;2;14;11
144302;13200177;201105;2;9;11
144303;9200109;201105;2;9;11
144304;13200205;201105;2;12;11
144305;10200120;201105;2;6;11
144306;12200026;201105;2;14;11
144307;13200139;201105;2;0;11
144308;12200032;201105;2;16;11
144309;12200043;201105;2;9;11
144310;13200037;201105;2;6;11
144311;13200099;201105;2;0;11
144312;11200087;201105;2;12;11
144313;11200010;201105;2;9;11
144314;11200174;201105;2;5;11
144315;12200096;201105;2;13;11
144316;13200191;201105;2;14;11
144317;10200126;201105;2;12;11
144318;12200009;201105;2;16;11
144319;12200088;201105;2;12;11
144320;12200115;201105;2;11;11
144321;13200134;201105;2;16;11
144322;10200225;201105;2;17;11
144323;13200094;201105;2;13;11
144324;13200146;201105;2;16;11
144325;13200008;201105;2;0;11
144326;10200084;201105;2;13;11
144327;11200175;201105;2;14;11
144328;11200221;201105;2;12;11
144329;11200232;201105;2;17;11
144330;12200150;201105;2;6;11
144331;12200164;201105;2;17;11
144332;11200109;201105;2;0;11
144333;13200170;201105;2;16;11
144334;9200120;201105;2;10;11
144335;12200081;201105;2;13;11
144336;13200011;201105;2;0;11
144337;13200014;201105;2;10;11
144338;13200021;201105;2;11;11
144339;13200032;201105;2;12;11
144340;13200096;201105;2;14;11
144341;9200193;201105;2;10;11
144342;11200085;201105;2;13;11
144343;11200103;201105;2;12;11
144344;11200009;201105;2;0;11
144345;9200082;201106;2;12;11
144346;9200111;201106;2;15;11
144347;13200191;201106;2;14;11
144348;13200205;201106;2;14;11
144349;13200134;201106;2;14;11
144350;12200043;201106;2;12;11
144351;9200027;201106;2;12;11
144352;9200047;201106;2;13;11
144353;13200041;201106;2;12;11
144354;13200096;201106;2;16;11
144355;11200085;201106;2;15;11
144356;11200087;201106;2;13;11
144357;11200099;201106;2;16;11
144358;11200225;201106;2;14;11
144359;13200168;201106;2;14;11
144360;9200010;201106;2;13;11
144375;9200082;201204;2;9;1
144376;10200120;201204;2;12;1
144377;12200030;201204;2;0;1
144378;12200171;201204;2;0;1
144379;13200177;201205;2;12;1
144380;11200057;201205;2;10;1
144381;11200061;201205;2;3;1
144382;13200146;201205;2;14;1
144383;11200085;201205;2;12;1
144384;9200001;201205;2;13;1
144385;10200122;201206;2;8;1
144386;10200078;201206;2;13;1
144387;11200182;201207;2;13;1
144388;11200200;201207;2;14;1
144389;12200135;201207;2;16;1
144390;13200139;201207;2;0;1
144391;10200185;201207;2;11;1
144392;11200018;201207;2;12;1
144393;13200031;201207;2;13;1
144394;11200225;201207;2;13;1
144395;13200168;201207;2;12;1
144396;13200205;201208;2;14;1
144397;13200003;201208;2;14;1
144398;13200023;201208;2;14;1
144399;12200177;201208;2;15;1
144400;13200080;201210;2;10;1
144401;10200224;201210;2;15;1
144402;9200121;201211;2;14;1
144403;13200185;201211;2;16;1
144404;13200205;201211;2;14;1
144405;12200031;201211;2;7;1
144406;13200080;201211;2;11;1
144407;13200010;201211;2;15;1
144408;12200079;201211;2;4;1
144409;9200027;201211;2;8;1
144410;13200098;201211;2;3;1
144411;9200180;201211;2;15;1
