cod_escuela;cod_semestre;cod_alumno;cod_plan;cod_asignatura;num_rep
1;20191;08200008;2009  ;201203M ;4
1;20191;07200055;2009  ;201210  ;1
1;20191;06200147;2009  ;202008  ;2
1;20191;07200055;2009  ;204004  ;2
1;20191;06200147;2009  ;205008  ;1
1;20191;06200086;2009  ;201211  ;1
1;20191;06200086;2009  ;209007  ;2
1;20191;04200053;2009  ;201208  ;1
1;20191;04200053;2009  ;201210  ;4
1;20191;01114126;2009  ;205009  ;7
1;20191;01114126;2009  ;206008  ;3
1;20191;01114126;2009  ;207002  ;2
1;20191;07200108;2009  ;204004  ;6
1;20191;07200108;2009  ;205001  ;4
1;20191;07200108;2009  ;205008  ;1
1;20191;07200108;2009  ;205009  ;1
1;20191;08200090;2009  ;201207  ;2
1;20191;07200077;2009  ;201104  ;1
1;20191;07200077;2009  ;209007  ;4
1;20191;08200090;2009  ;208001  ;1
1;20191;08200090;2009  ;208007  ;1
1;20191;08200090;2009  ;208008  ;3
1;20191;07200092;2009  ;201101  ;2
1;20191;05200127;2009  ;201203M ;4
1;20191;07200092;2009  ;201203M ;3
1;20191;07200092;2009  ;209007  ;3
1;20191;05200127;2009  ;206008  ;7
1;20191;05200127;2009  ;207002  ;3
1;20191;01113991;2009  ;202009  ;2
1;20191;05200127;2009  ;208007  ;2
1;20191;05200127;2009  ;208009  ;2
1;20191;05200127;2009  ;209003  ;2
1;20191;08200153;2009  ;205001  ;1
1;20191;08200153;2009  ;205009  ;7
1;20191;08200153;2009  ;206008  ;1
1;20191;08200153;2009  ;207008  ;1
1;20191;01113991;2009  ;209005M ;2
1;20191;08200061;2009  ;206007  ;2
1;20191;06200015;2009  ;207002  ;2
1;20191;06200015;2009  ;207007  ;2
1;20191;06200015;2009  ;207008  ;7
1;20191;06200015;2009  ;209008  ;1
1;20191;00110878;2009  ;201203M ;2
1;20191;00110878;2009  ;201211  ;1
1;20191;00110878;2009  ;208008  ;1
1;20191;04200026;2009  ;202001  ;2
1;20191;00110749;2009  ;201103  ;1
1;20191;08200188;2009  ;201103  ;1
1;20191;08200188;2009  ;209007  ;1
1;20191;08200092;2009  ;201101  ;1
1;20191;06200064;2009  ;201205  ;1
1;20191;08200092;2009  ;201105  ;1
1;20191;08200021;2009  ;201211  ;1
1;20191;08200092;2009  ;201207  ;1
1;20191;04200152;2009  ;201205  ;1
1;20191;05200035;2009  ;201206  ;1
1;20191;06200166;2009  ;201103  ;1
1;20191;06200150;2009  ;201203M ;1
1;20191;06200150;2009  ;201208  ;1
1;20191;05200057;2009  ;201211  ;1
1;20191;997985  ;2009  ;201105  ;1
1;20191;04200146;2009  ;201103  ;1
1;20191;08200163;2009  ;201203M ;1
1;20191;06200064;2009  ;208009  ;1
1;20191;01114046;2009  ;201206  ;1
1;20191;00110555;2009  ;201203M ;1
1;20191;06200166;2009  ;209006  ;1
1;20191;01114046;2009  ;201211  ;1
1;20191;06200064;2009  ;201103  ;1
1;20191;04200172;2009  ;201211  ;1
1;20191;04200152;2009  ;209007  ;1
